"user_id","age","num_clicks","num_sessions","avg_session_duration","gender","marital_status","has_children","home_country","home_city","num_trips","num_flights","total_money_spent_hotel","avg_distance_flown","customer_segmentation","perk_per_group"
"23557","65","185","12","295.78","F","Married","No","usa","new york","4","4","3906.50","2102.61","Couple Travelers","One Night Free Hotel with Flight"
"94883","52","100","12","62.17","F","Married","No","usa","kansas city","3","6","130","5303.67","Group Travelers","One Night Free Hotel with Flight"
"101486","51","340","13","659.54","F","Married","Yes","usa","tacoma","4","6","6307","1932.70","Group Travelers","One Night Free Hotel with Flight"
"101961","44","218","12","135.42","F","Married","No","usa","boston","7","12","2954","1806.41","Frequent Traveler","No Cancellation Fee"
"106907","46","368","14","501.95","F","Married","Yes","usa","miami","3","3","6442.2","7441.13","Group Travelers","One Night Free Hotel with Flight"
"118043","52","210","13","226.72","F","Non_Married","Yes","usa","los angeles","6","8","5616.45","1974.64","Frequent Traveler","No Cancellation Fee"
"120851","52","329","13","628.15","F","Married","Yes","usa","santa ana","4","8","4574","4076.27","Frequent Traveler","No Cancellation Fee"
"125845","40","340","13","675.54","F","Married","No","usa","el paso","5","10","5100.2","6574.04","Frequent Traveler","No Cancellation Fee"
"133058","19","113","13","65.31","F","Non_Married","No","usa","austin","2","2","871.25","2887.18","Regular Travelers","Free hotel Meal"
"133058","19","113","13","65.31","F","Non_Married","No","usa","austin","2","2","871.25","2887.18","Regular Travelers","Regular Traveler"
"133058","19","113","13","65.31","F","Non_Married","No","usa","austin","2","2","871.25","2887.18","Solo","Free hotel Meal"
"133058","19","113","13","65.31","F","Non_Married","No","usa","austin","2","2","871.25","2887.18","Solo","Regular Traveler"
"149058","51","185","12","158.42","F","Non_Married","Yes","usa","birmingham","6","12","7479","2122.11","Frequent Traveler","No Cancellation Fee"
"152583","38","202","10","295.96","F","Non_Married","No","usa","colorado springs","2","4","426","10635.63","Group Travelers","One Night Free Hotel with Flight"
"153982","46","253","11","481.96","F","Non_Married","Yes","canada","toronto","5","10","4766","3902.53","Frequent Traveler","No Cancellation Fee"
"160754","46","294","10","790.90","F","Married","Yes","usa","new york","2","4","428","3611.03","Group Travelers","One Night Free Hotel with Flight"
"164522","49","139","10","191.29","F","Married","No","usa","kansas city","2","4","3029","7407.99","Group Travelers","One Night Free Hotel with Flight"
"174997","33","267","9","893.78","F","Non_Married","No","usa","grand rapids","3","6","448","3938.21","Group Travelers","One Night Free Hotel with Flight"
"175032","30","174","14","92.14","F","Non_Married","No","usa","houston","4","5","3691.80","1726.73","Group Travelers","One Night Free Hotel with Flight"
"181157","54","378","10","851.30","F","Married","No","usa","houston","4","8","6037.80","4063.42","Frequent Traveler","No Cancellation Fee"
"187212","55","187","12","115.50","F","Married","Yes","usa","los angeles","3","6","904","2465.56","Family Travelers","Exlcusive Discount"
"189676","36","312","10","803.20","F","Non_Married","Yes","usa","fort worth","3","4","5001","1381.43","Group Travelers","One Night Free Hotel with Flight"
"190866","38","444","12","751.58","F","Non_Married","No","usa","tallahassee","7","14","2714","4837.79","Frequent Traveler","No Cancellation Fee"
"195192","29","351","13","200.31","F","Non_Married","No","usa","chicago","4","8","3329","1256.35","Frequent Traveler","No Cancellation Fee"
"204943","41","364","11","807.45","M","Non_Married","No","canada","ottawa","9","18","8909","1854.94","Frequent Traveler","No Cancellation Fee"
"204997","39","475","9","1273.05","F","Married","No","usa","kansas city","4","8","4302.8","3658.79","Frequent Traveler","No Cancellation Fee"
"205044","41","402","12","736.92","F","Married","Yes","canada","toronto","5","10","8280.8","2765.50","Frequent Traveler","No Cancellation Fee"
"206011","40","339","12","727.67","F","Non_Married","Yes","usa","kansas city","5","10","2007.00","1443.57","Frequent Traveler","No Cancellation Fee"
"216796","23","205","10","722.11","F","Non_Married","No","usa","cincinnati","2","4","4828","5074.26","Group Travelers","One Night Free Hotel with Flight"
"217136","39","323","10","812.20","F","Non_Married","Yes","usa","little rock","3","4","659","7408.61","Group Travelers","One Night Free Hotel with Flight"
"220725","41","550","13","1229.92","F","Non_Married","No","usa","stockton","5","10","1402","3054.97","Frequent Traveler","No Cancellation Fee"
